date;region;manager;product;amount
01.01.2021;r1;m1;pr1;400
02.01.2021;r2;m2;pr2;900
03.01.2021;r3;m3;pr1;500
04.01.2021;r4;m1;pr2;800
05.01.2021;r5;m2;pr1;200
06.01.2021;r1;m3;pr2;700
07.01.2021;r2;m1;pr1;100
08.01.2021;r3;m2;pr2;900
09.01.2021;r4;m3;pr1;100
10.01.2021;r5;m1;pr2;200
11.01.2021;r1;m2;pr1;500
12.01.2021;r2;m3;pr2;400
13.01.2021;r3;m1;pr1;400
14.01.2021;r4;m2;pr2;300
15.01.2021;r5;m3;pr1;200
16.01.2021;r1;m1;pr2;100
17.01.2021;r2;m2;pr1;300
18.01.2021;r3;m3;pr2;500
19.01.2021;r4;m1;pr1;500
